Proj0,Proj1,Proj2,Proj3,Proj4,ProjTotal,AdjProjTotal,MT,Final,TotalPct,Grade,Quarter,LectureRef,MidtermOutOf,FinalOutOf
2,24,30,30,30,114,116.02,32.5,15.5,81.97%,A,2014Fall,A,39,25
2,30,30,28,29.5,117.5,117.5,26.5,18,81.91%,A,2014Fall,A,39,25
2,30,27,21.6,25.8,104.4,105.79,31.5,18.5,81.88%,A,2014Fall,A,39,25
2,30,30,28,29,117,117.27,29.5,16.5,81.78%,A,2014Fall,A,39,25
2,30,26,30,27,113,115.17,28.5,17.5,81.76%,A,2014Fall,A,39,25
2,30,24,30,30,114,114,28,18,81.71%,A,2014Fall,A,39,25
2,30,30,30,29.5,119.5,119.5,28,16.5,81.56%,A,2014Fall,A,39,25
2,29,30,30,29,118,118.62,30.5,15.5,81.55%,A,2014Fall,A,39,25
2,30,29,30,29,118,118.41,27.5,17,81.54%,A,2014Fall,A,39,25
2,28,27,28,28.5,111.5,114.13,24.5,19.5,81.49%,A,2014Fall,A,39,25
2,26,29,30,30,115,115,25,19,81.44%,A,2014Fall,A,39,25
2,27,30,30,30,117,117.61,28.5,16.5,81.25%,A,2014Fall,A,39,25
2,30,30,27,29,116,116.36,27,17.5,81.19%,A,2014Fall,A,39,25
2,25,30,30,28.5,113.5,113.5,30.5,16.5,81.16%,A,2014Fall,A,39,25
2,23,30,30,30,113,115.35,28.5,17,81.16%,A,2014Fall,A,39,25
2,30,30,30,30,120,120,24,18,81.14%,A,2014Fall,A,39,25
2,30,30,21,27.5,108.5,112.07,29,17.5,81.05%,A,2014Fall,A,39,25
2,27,30,30,29.5,116.5,117.21,29,16,80.78%,A,2014Fall,A,39,25
2,30,25,30,29,114,114,26.5,18,80.75%,A,2014Fall,A,39,25
2,30,28.71,28,29.5,116.21,116.98,27,17,80.74%,A,2014Fall,A,39,25
2,25.5,30,30,28.71,114.21,116.15,33.5,14,80.67%,A,2014Fall,A,39,25
2,27,28,28,28.5,111.5,114.36,27,17.5,80.53%,A,2014Fall,A,39,25
2,29,30,30,29.5,118.5,118.97,23.5,18,80.48%,A,2014Fall,A,39,25
2,22,30,27,29.5,108.5,112.36,32,15.5,80.43%,A,2014Fall,A,39,25
2,30,30,30,29.5,119.5,119.6,22,18.5,80.39%,A,2014Fall,A,39,25
2,30,29,30,22,111,111,27.5,18,80.39%,A,2014Fall,A,39,25
2,29,29,29,27.5,114.5,115.62,26,17.5,80.31%,A,2014Fall,A,39,25
2,28,29,29,29.5,115.5,115.5,23.5,18.5,79.98%,A,2014Fall,A,39,25
2,30,30,30,29.5,119.5,119.5,24.5,17,79.98%,A,2014Fall,A,39,25
2,30,30,29,30,119,119.31,23,17.5,79.61%,A-,2014Fall,A,39,25
2,30,30,30,30,120,120,20.5,18.5,79.56%,A-,2014Fall,A,39,25
2,28,29,29,26.5,112.5,112.5,28.5,16.5,79.55%,A-,2014Fall,A,39,25
2,21,29,23,30,103,108.28,29.5,17,79.44%,A-,2014Fall,A,39,25
2,28,30,30,30,118,118.67,26,16,79.34%,A-,2014Fall,A,39,25
2,30,30,25,29.5,114.5,116.21,26,16.5,79.18%,A-,2014Fall,A,39,25
2,24,30,30,30,114,115.22,26.5,16.5,79.17%,A-,2014Fall,A,39,25
2,27,27,30,30,114,115.22,27.5,16,79.15%,A-,2014Fall,A,39,25
2,29,30,30,22,111,112.83,24.5,18,79.07%,A-,2014Fall,A,39,25
2,26,26,27,29,108,108,31,16,78.99%,A-,2014Fall,A,39,25
2,29,27,28,26,110,113.36,22,19,78.97%,A-,2014Fall,A,39,25
2,30,30,29,28.5,117.5,117.5,26.5,15.5,78.61%,A-,2014Fall,A,39,25
2,28,30,29,29,116,116,22,18,78.53%,A-,2014Fall,A,39,25
2,30,30,30,23.5,113.5,113.5,25,17,78.30%,A-,2014Fall,A,39,25
2,30,28,24,28,110,110,23.5,18.5,78.15%,A-,2014Fall,A,39,25
2,30,26,30,27.5,113.5,115.68,30.5,13.5,77.93%,A-,2014Fall,A,39,25
2,30,28,29,25.5,112.5,113.17,22.5,18,77.91%,A-,2014Fall,A,39,25
2,27,26,30,30,113,114.42,28,15,77.89%,A-,2014Fall,A,39,25
2,29,26,28,24,107,108.16,25,18,77.84%,A-,2014Fall,A,39,25
2,30,29,30,29.5,118.5,118.96,26.5,14.5,77.78%,A-,2014Fall,A,39,25
2,30,28,30,29,117,117.27,19,18.5,77.69%,A-,2014Fall,A,39,25
2,30,30,30,30,120,120,22.5,16,77.54%,A-,2014Fall,A,39,25
2,29,28,30,30,117,117.93,23.5,16,77.49%,A-,2014Fall,A,39,25
2,28,21,26,29.5,104.5,105.88,22.5,19.5,77.46%,A-,2014Fall,A,39,25
2,30,28.71,25,29.5,113.21,113.21,30,14,77.45%,A-,2014Fall,A,39,25
2,30,30,22,30,112,112.71,22,18,77.43%,A-,2014Fall,A,39,25
2,24,29,30,29,112,114.47,26,15.5,77.28%,A-,2014Fall,A,39,25
2,29,29,30,30,118,118.18,25,15,77.22%,A-,2014Fall,A,39,25
1.5,28,25,26.32,29.7,109.02,112.43,25.5,16.5,77.10%,A-,2014Fall,A,39,25
2,26,24,20,29,99,105.49,27,17,76.91%,A-,2014Fall,A,39,25
2,28,29,26,28.5,111.5,113.23,24,16.5,76.91%,A-,2014Fall,A,39,25
2,27,22,23,29.5,101.5,103.15,26,18,76.81%,A-,2014Fall,A,39,25
1.5,30,28,29,29,116,116,24,16,76.67%,B+,2014Fall,A,39,25
2,30,28,28,29.5,115.5,116.89,23.5,15.5,76.49%,B+,2014Fall,A,39,25
2,29,28,30,29.5,116.5,117.21,14,20,76.44%,B+,2014Fall,A,39,25
2,26,30,30,29.5,115.5,115.5,23.5,15.5,76.02%,B+,2014Fall,A,39,25
2,29,29,27,30,115,116.55,25,14,75.36%,B+,2014Fall,A,39,25
2,30,30,30,22,112,112,16,19.5,75.33%,B+,2014Fall,A,39,25
2,29,29,17,29.5,104.5,109.31,23.5,16.5,75.28%,B+,2014Fall,A,39,25
2,27,30,30,30,117,117.27,31.5,10.5,75.14%,B+,2014Fall,A,39,25
2,22,29,26,30,107,111.37,20,17.5,75.04%,B+,2014Fall,A,39,25
2,30,26,28,27.5,111.5,112.26,27.5,13.5,74.87%,B+,2014Fall,A,39,25
2,25,29,21,30,105,108.04,24.5,16,74.84%,B+,2014Fall,A,39,25
2,28,29,30,29.5,116.5,117.58,20.5,15.5,74.79%,B+,2014Fall,A,39,25
2,25,30,30,30,115,116.55,21,15.5,74.77%,B+,2014Fall,A,39,25
2,30,29,25,29.5,113.5,115.51,23.5,14.5,74.71%,B+,2014Fall,A,39,25
2,27,30,20,28.5,105.5,108.44,24,16,74.65%,B+,2014Fall,A,39,25
2,27,29,28,29,113,114.42,26,13.5,74.63%,B+,2014Fall,A,39,25
2,26,28,28,29.5,111.5,114.13,21,16,74.62%,B+,2014Fall,A,39,25
2,30,28,28,28.5,114.5,114.99,19.5,16.5,74.61%,B+,2014Fall,A,39,25
2,17,26,29,22,94,96.32,25,18.5,74.55%,B+,2014Fall,A,39,25
2,25,27,29,28.5,109.5,111.63,26,14,74.36%,B+,2014Fall,A,39,25
2,20,23,28,26.5,97.5,104.48,26.5,15.5,74.27%,B+,2014Fall,A,39,25
2,18,25,30,30,103,108.71,23,16,74.10%,B+,2014Fall,A,39,25
2,13,27,29,30,99,105.52,20.5,18,74.07%,B+,2014Fall,A,39,25
2,27,30,30,29.5,116.5,117.21,20.5,15,74.01%,B+,2014Fall,A,39,25
2,21,27,20,29,97,101.67,29.5,14.5,73.94%,B+,2014Fall,A,39,25
2,30,29,25,26.73,110.73,113.84,19,16.5,73.91%,B+,2014Fall,A,39,25
2,30,22,20,29.5,101.5,107.22,24.5,15.5,73.90%,B+,2014Fall,A,39,25
2,23,29,27,27.5,106.5,109.24,26.5,14,73.88%,B+,2014Fall,A,39,25
2,24,30,15,29.5,98.5,105.14,25.5,15.5,73.85%,B+,2014Fall,A,39,25
2,29,30,28,25.5,112.5,115.02,25.5,13,73.85%,B+,2014Fall,A,39,25
2,30,30,30,30,120,120,27,11,73.83%,B+,2014Fall,A,39,25
2,13.8,29,28,29,99.8,106.04,24.5,15.5,73.51%,B,2014Fall,A,39,25
2,19,28,28,30,105,110.04,26.5,13.5,73.49%,B,2014Fall,A,39,25
2,30,29,30,29,118,118.62,22,13.5,73.46%,B,2014Fall,A,39,25
2,24,29,28,29,110,113.36,22.5,14.5,73.35%,B,2014Fall,A,39,25
2,30,30,28,30,118,118,23,13,73.24%,B,2014Fall,A,39,25
2,25,30,28,29,112,112.71,19.5,16,73.19%,B,2014Fall,A,39,25
2,27,30,24,30,111,112.83,23.5,14,73.15%,B,2014Fall,A,39,25
2,23,29,30,24.6,106.6,107.79,25,14.5,73.10%,B,2014Fall,A,39,25
2,30,23,26,30,109,112.69,26.5,12.5,73.05%,B,2014Fall,A,39,25
2,26,30,24,21.5,101.5,101.5,25,16,72.98%,B,2014Fall,A,39,25
2,25,27,30,26.5,108.5,109.52,18.5,17,72.81%,B,2014Fall,A,39,25
2,29,30,30,28,117,117.93,16,16,72.69%,B,2014Fall,A,39,25
2,26,27,29,28.5,110.5,111.35,22.5,14.5,72.68%,B,2014Fall,A,39,25
2,30,30,27,28.5,115.5,116.89,25.5,11.5,72.49%,B,2014Fall,A,39,25
2,24,27,25,27.5,103.5,108.62,22.5,15,72.43%,B,2014Fall,A,39,25
2,27,22,18,19.32,86.32,96.77,26.5,16,72.36%,B,2014Fall,A,39,25
2,23,30,30,29.5,112.5,114.02,20.5,14.5,72.29%,B,2014Fall,A,39,25
2,26,30,30,29,115,116.01,23.5,12.5,72.24%,B,2014Fall,A,39,25
2,30,29,26,30,115,116.68,19,14.5,72.21%,B,2014Fall,A,39,25
2,26,30,29,25.5,110.5,110.5,21,15,72.09%,B,2014Fall,A,39,25
2,29,30,26,28.5,113.5,115.51,29.5,9.5,71.95%,B,2014Fall,A,39,25
2,30,26.32,28,26.5,110.82,110.82,18.5,16,71.92%,B,2014Fall,A,39,25
2,22,30,25,29.5,106.5,110.69,16.5,17,71.91%,B,2014Fall,A,39,25
1,30,25,17,29,101,101,22,17.5,71.87%,B,2014Fall,A,39,25
2,30,30,30,30,120,120,18.5,13.5,71.68%,B,2014Fall,A,39,25
2,24,23,29,30,106,110.35,26.5,12,71.61%,B,2014Fall,A,39,25
2,30,24,30,30,114,114,22.5,13,71.58%,B,2014Fall,A,39,25
2,29,29,22,19.6,99.6,105.9,24.5,14,71.49%,B,2014Fall,A,39,25
2,30,24,30,29,113,115.17,19.5,14,71.37%,B,2014Fall,A,39,25
2,15.66,29,30,24.96,99.62,105.92,25,13.5,71.15%,B,2014Fall,A,39,25
2,27,29,28,28,112,114.48,19.5,14,71.14%,B,2014Fall,A,39,25
2,30,30,28,23.5,111.5,111.5,25,12,71.03%,B,2014Fall,A,39,25
2,25,30,27,30,112,112,20.5,14,70.95%,B,2014Fall,A,39,25
2,27,26,27,30,110,110.89,22,13.5,70.89%,B,2014Fall,A,39,25
2,29,22,30,26.5,107.5,110.04,17,16,70.70%,B,2014Fall,A,39,25
2,29,21,24,30,104,107.25,20.5,15,70.69%,B,2014Fall,A,39,25
2,30,30,27,30,117,117.93,17,14,70.69%,B,2014Fall,A,39,25
2,27,29,19,30,105,109.66,14,17.5,70.63%,B,2014Fall,A,39,25
2,30,30,27,20.09,107.09,111.08,20,14,70.33%,B,2014Fall,A,39,25
2,30,27,26,28,111,113.78,22.5,12,70.19%,B,2014Fall,A,39,25
2,27,18,20,21,86,92.9,24,16.5,70.13%,B,2014Fall,A,39,25
1.5,26,29,30,30,115,116.55,17.5,14,70.05%,B,2014Fall,A,39,25
2,17,29,24,30,100,106.21,17.5,16,69.74%,B,2014Fall,A,39,25
2,30,25,30,29.5,114.5,115.62,15.5,14.5,69.61%,B,2014Fall,A,39,25
2,30,30,22,29,111,112.83,19,13.5,69.61%,B,2014Fall,A,39,25
2,30,28,26,20,104,108.94,22,13,69.58%,B,2014Fall,A,39,25
2,30,29,27,29,115,116.55,21,11.5,69.49%,B,2014Fall,A,39,25
2,30,17,25.74,29.5,102.24,103.82,23.5,13.5,69.49%,B,2014Fall,A,39,25
2,30,30,30,30,120,120,15,13.5,69.44%,B,2014Fall,A,39,25
2,24,19,20,28.5,91.5,97.28,20.5,16.5,69.35%,B,2014Fall,A,39,25
2,29,28,30,30,117,117.27,14,14.5,69.20%,B,2014Fall,A,39,25
2,30,30,30,29.5,119.5,119.65,19.5,11,68.90%,B-,2014Fall,A,39,25
2,17.82,21,24,29.5,92.32,100.87,22.5,14,68.53%,B-,2014Fall,A,39,25
2,24,26,27,22.5,99.5,106.39,21.5,13,68.40%,B-,2014Fall,A,39,25
2,30,30,22.8,16.5,99.3,99.3,21,15,68.36%,B-,2014Fall,A,39,25
0,30,29,30,24.5,113.5,114.08,22.5,12,68.29%,B-,2014Fall,A,39,25
2,28,26,30,28.42,112.42,114.76,23,10,68.20%,B-,2014Fall,A,39,25
2,16,29,26,30,101,106.9,25,11,68.18%,B-,2014Fall,A,39,25
2,30,29,30,22,111,111,14.5,15,68.09%,B-,2014Fall,A,39,25
2,26,26,27,30,109,111.23,19.5,12.5,68.08%,B-,2014Fall,A,39,25
2,28,28,27,28,111,111,17.5,13.5,68.04%,B-,2014Fall,A,39,25
2,27,29,22,16,94,102.04,21,13.5,67.29%,B-,2014Fall,A,39,25
1.5,28,28,30,27.5,113.5,114.82,17,12.5,67.17%,B-,2014Fall,A,39,25
2,29,25,20,30,104,109.37,20,12,67.12%,B-,2014Fall,A,39,25
2,29,25.22,27,28,109.22,111.41,16.5,13,66.87%,B-,2014Fall,A,39,25
2,30,21,30,23.5,104.5,104.5,17,14.5,66.87%,B-,2014Fall,A,39,25
2,27.44,21,22,24.96,95.4,97.59,20.5,14.5,66.81%,B-,2014Fall,A,39,25
2,21,28,23,21,93,101.38,21.5,13,66.74%,B-,2014Fall,A,39,25
2,28.71,30,7,26.73,92.44,93.86,18,16.5,66.60%,B-,2014Fall,A,39,25
2,20,30,28,25,103,108.71,22.5,10.5,66.52%,B-,2014Fall,A,39,25
2,30,26,28,30,114,115.85,16.5,11.5,66.38%,B-,2014Fall,A,39,25
2,23,27,15,30,95,102.73,25,10.5,66.13%,C+,2014Fall,A,39,25
2,25,30,30,29.5,114.5,115.62,17,11,65.96%,C+,2014Fall,A,39,25
2,19,29,20,20,88,98.75,21.5,13,65.86%,C+,2014Fall,A,39,25
2,21,23,20,30,94,102.73,20,12.5,65.56%,C+,2014Fall,A,39,25
2,30,28,15,20,93,101.34,14.5,15.5,65.54%,C+,2014Fall,A,39,25
2,24,28,10,24.5,86.5,87.7,23.5,14.5,65.44%,C+,2014Fall,A,39,25
2,30,19,30,25.5,104.5,109.71,20,10.5,65.25%,C+,2014Fall,A,39,25
1.5,28,26,24,29,107,111.03,20,10.5,65.19%,C+,2014Fall,A,39,25
2,25,29,10,28.91,92.91,93.54,19,15,65.16%,C-*,2014Fall,A,39,25
2,25,29,27,27,108,108,13.5,14,65.13%,C+,2014Fall,A,39,25
2,10,29,28,28,95,96.01,16.5,15.5,65.04%,C+,2014Fall,A,39,25
2,29,27,28,20,104,107.25,26,8,64.98%,C+,2014Fall,A,39,25
2,30,26,10,24.5,90.5,91.35,25,12.5,64.97%,C+,2014Fall,A,39,25
2,21,29,24.5,30,104.5,107.65,20.5,10.5,64.88%,C+,2014Fall,A,39,25
2,30,30,18,28.5,106.5,106.5,20,11,64.84%,C+,2014Fall,A,39,25
2,26,26,26,26,104,108.97,18.5,11,64.70%,C+,2014Fall,A,39,25
2,29,26,26,29.5,110.5,113.44,14,12,64.63%,C+,2014Fall,A,39,25
2,29,29,26,29,113,115.16,17,10,64.49%,C+,2014Fall,A,39,25
2,30,28,29,29,116,116,17.5,9.5,64.42%,C+,2014Fall,A,39,25
2,25,28,27,26,106,108.84,16,12,64.38%,C+,2014Fall,A,39,25
2,25,25,26,12.5,88.5,91.31,25,12,64.30%,C+,2014Fall,A,39,25
2,30,29,27,26,112,112.71,19,9.5,64.29%,C+,2014Fall,A,39,25
2,30,30,28,12.5,100.5,100.5,19,12.5,64.18%,C+,2014Fall,A,39,25
2,30,24,15,18,87,97.2,12,16.5,63.87%,C+,2014Fall,A,39,25
2,30,30,30,30,120,120,14.5,9.5,63.83%,C+,2014Fall,A,39,25
2,28,27,25,27.84,107.84,111.61,13,12,63.38%,C,2014Fall,A,39,25
2,29,29,24,18.5,100.5,107.05,23.5,8,63.31%,C,2014Fall,A,39,25
2,29,27,15,12.5,83.5,95.76,16.5,14,62.98%,C,2014Fall,A,39,25
2,27,14,19.8,23.28,84.08,91.37,23.5,11.5,62.70%,C,2014Fall,A,39,25
2,29,6,30,27,92,92.81,19,13,62.28%,C,2014Fall,A,39,25
2,24,21.34,20,15.6,80.94,93.01,19.5,12.5,62.00%,C,2014Fall,A,39,25
2,30,29,26,25.5,110.5,113.69,18,8,62.00%,C,2014Fall,A,39,25
1.82,24,0,27,26.5,77.5,81.7,18,16,61.71%,C,2014Fall,A,39,25
2,25,14.4,27,29.5,95.9,98.05,20.5,10.5,61.68%,C,2014Fall,A,39,25
2,30,30,24,30,114,114,10,11.5,61.59%,C,2014Fall,A,39,25
2,9,29,20.24,27.6,85.84,89.92,23.5,11,61.56%,C,2014Fall,A,39,25
2,10,19,30,25.5,84.5,89.29,21.5,11.5,60.73%,C,2014Fall,A,39,25
2,24,18,26,20,88,90.85,20.5,11.5,60.60%,C,2014Fall,A,39,25
2,7,0,26,30,63,63.36,25.5,16,60.58%,C,2014Fall,A,39,25
1.5,24,26,24,21.17,95.17,100.21,14,12,59.72%,C,2014Fall,A,39,25
2,26,30,18,27.5,101.5,101.5,18.5,9,59.57%,C,2014Fall,A,39,25
2,30,30,20,19.5,99.5,99.5,19,9,59.23%,C,2014Fall,A,39,25
2,30,29,25,29.5,113.5,113.5,16.5,6,58.33%,C-,2014Fall,A,39,25
2,17.46,0,24,19.5,60.96,70.71,22,14,58.15%,C-,2014Fall,A,39,25
2,18,19,15,12.5,64.5,81.65,14,15,57.99%,C-,2014Fall,A,39,25
2,30,29,27,29.5,115.5,115.9,9.5,8.5,57.94%,C-,2014Fall,A,39,25
2,28,24,20,13.5,85.5,96.21,18.5,9,57.81%,C-,2014Fall,A,39,25
1.5,26,29,20,26.5,101.5,107.22,18.5,6.5,57.68%,C-,2014Fall,A,39,25
2,30,20,25,0,75,76.34,19,13.5,57.44%,C-,2014Fall,A,39,25
2,21,30,24,23,98,99.96,10.5,10.5,55.91%,C-,2014Fall,A,39,25
2,25,0,13.86,12.5,51.36,63.35,20.5,14.5,55.40%,C-,2014Fall,A,39,25
2,23,11,0,29.5,63.5,65.83,22,13,55.21%,C-,2014Fall,A,39,25
2,30,27,20,20.5,97.5,104.45,15,6.5,55.01%,C-,2014Fall,A,39,25
2,11,24,17,27.5,79.5,86.17,15,11,54.86%,C-,2014Fall,A,39,25
2,29,28,0,0,57,57.27,27.5,12,54.56%,C-,2014Fall,A,39,25
2,2.6,30,20,29,81.6,85.29,18,9.5,54.51%,C-,2014Fall,A,39,25
2,29,16,20,28,93,101.34,19.5,4.5,54.22%,C-,2014Fall,A,39,25
2,20,20,21,21.5,82.5,94.14,15,8.5,54.21%,C-,2014Fall,A,39,25
2,30,21,15,30,96,104.06,11.5,7,53.30%,C-,2014Fall,A,39,25
0,22,26,15,28.71,91.71,101.21,13.5,8,52.95%,D+,2014Fall,A,39,25
2,30,27,23,29.5,109.5,111.63,21,0,52.67%,D+,2014Fall,A,39,25
2,13,14,10,30,67,69.94,19,9,49.37%,D+,2014Fall,A,39,25
1.5,28,0,10,25,63,63.62,9.5,15.5,49.26%,D+,2014Fall,A,39,25
2,23,26,18,12.5,79.5,79.5,15.5,8,49.00%,D+,2014Fall,A,39,25
2,23,18,27,12.5,80.5,80.5,17,6.5,48.31%,D+,2014Fall,A,39,25
2,11,11,15,12.5,49.5,60.42,15,12.5,48.25%,D+,2014Fall,A,39,25
1.5,13,28,15,12.5,68.5,84.42,15,6,47.17%,D+,2014Fall,A,39,25
2,9.54,19,19.76,0,48.3,55.43,22.5,9,46.78%,D+,2014Fall,A,39,25
2,27,12.87,10,18.8,68.67,71.46,17,7.5,46.62%,D,2014Fall,A,39,25
2,25,28,0,29.5,82.5,83.17,10.5,7.5,46.35%,NP,2014Fall,A,39,25
2,25,11,0,0,36,37.68,18,12,41.94%,D,2014Fall,A,39,25
0,11,23,10,12.5,56.5,61.47,14.5,8,40.35%,D,2014Fall,A,39,25
2,16,10,10,12.5,48.5,54.89,12,9,39.87%,D,2014Fall,A,39,25
2,24,14,10,0,48,52.46,26.5,0,36.48%,D-,2014Fall,A,39,25
2,18,19,10,0,47,54.73,14,5,35.82%,D-,2014Fall,A,39,25
0,0,14.7,0,0,14.7,19.84,26,9,35.16%,D-,2014Fall,A,39,25
2,4.68,18,7,0,29.68,33.4,18,7.5,34.57%,D-,2014Fall,A,39,25
2,20,0,0,23.5,43.5,43.5,8.5,9,33.83%,D-,2014Fall,A,39,25
2,8,10,9.8,0,27.8,27.8,19,3,27.41%,F,2014Fall,A,39,25
2,4,10,10,11.25,35.25,35.25,9,5.5,26.78%,F,2014Fall,A,39,25
0,0,0,22,0,22,24.48,28,0,26.11%,F,2014Fall,A,39,25
0,27,10.2,0,0,37.2,37.47,17,1.5,25.37%,F,2014Fall,A,39,25
2,29,10,0,0,39,39.31,15.5,0,25.04%,NR,2014Fall,A,39,25
2,0,19,0,0,19,22.69,18.5,0,21.42%,F,2014Fall,A,39,25
0,0,0,15,0,15,20.04,17.5,0,17.90%,F,2014Fall,A,39,25
2,0,0,0,0,0,0,11,0,9.05%,F,2014Fall,A,39,25
0,0,0,0,0,0,0,8,0,5.13%,F,2014Fall,A,39,25
2,0,0,0,0,0,0,0,0,2.00%,F,2014Fall,A,39,25
2,0,0,0,0,0,0,0,0,2.00%,F,2014Fall,A,39,25
2,30,29,30,30,119,119.02,40,35.5,93.93%,A+,2015Fall,A,45,39
2,30,28,30,30,118,118.3,42.5,34,93.81%,A+,2015Fall,A,45,39
2,30,30,30,29.5,119.5,119.5,37,36,92.85%,A+,2015Fall,A,45,39
2,29,29,30,28.42,116.42,116.42,41,34.5,92.78%,A+,2015Fall,A,45,39
2,30,30,30,30,120,120,41,33,92.70%,A+,2015Fall,A,45,39
2,27,30,29,29.5,115.5,116.25,37,36,91.77%,A,2015Fall,A,45,39
2,30,30,30,30,120,120,36.5,34.5,91.47%,A,2015Fall,A,45,39
2,30,30,29,25.5,114.5,114.61,38,35,90.93%,A,2015Fall,A,45,39
2,30,26,30,29,115,116.65,36,35.5,90.92%,A,2015Fall,A,45,39
2,30,30,27,30,117,117.44,37.5,33.5,90.33%,A,2015Fall,A,45,39
2,30,30,30,29,119,119.15,39,31.5,90.04%,A,2015Fall,A,45,39
2,30,30,30,18.9,108.9,112.56,36,36,89.98%,A,2015Fall,A,45,39
2,30,26,28,29,113,114.04,38,34,89.89%,A,2015Fall,A,45,39
2,30,30,30,30,120,120,35,33.5,89.79%,A,2015Fall,A,45,39
2,30,30,30,29.5,119.5,119.66,38,31,89.23%,A,2015Fall,A,45,39
2,30,26,30,30,116,116.59,37,32,88.50%,A,2015Fall,A,45,39
